ds,yhat,yhat_lower,yhat_upper,y
2021-01-14,2181997.468731979,2043100.4459132699,2329881.0586770615,2253039.0
2021-01-15,2169816.6390475137,2025713.23978663,2316465.229583146,2226486.0
2021-01-16,2150202.545713036,2001784.0843634703,2288233.975432791,2188168.0
2021-01-17,2125124.5640530577,1982948.3065749689,2269933.542785424,2152593.0
2021-01-18,2094329.2654335247,1945426.8621450716,2237180.386041393,2072753.0
2021-01-19,2066414.3472828148,1907711.6698582685,2205403.972445155,2024561.0
2021-01-20,2042001.701971821,1888756.8406866589,2184545.4326469074,1987125.0
2021-01-21,2018755.9071381018,1869444.313759402,2158661.207935315,1961875.0
2021-01-22,1995410.6934379428,1846974.8996942157,2148887.128902169,1944732.0
2021-01-23,1966138.4145403637,1829087.930493566,2102423.3653214076,1924002.0
2021-01-24,1933028.0991747268,1788436.4323732313,2074930.6908587145,1886708.0
2021-01-25,1895924.892387088,1744663.5406584698,2031473.0657645003,1820014.0
2021-01-26,1863501.3998928145,1723906.3236718446,2009708.3255293155,1778168.0
2021-01-27,1836428.6030498114,1697814.7903242458,1975559.613931627,1758730.0
2021-01-28,1812392.6978674103,1666398.966728605,1967259.003274442,1758504.0
2021-01-29,1790120.4729269948,1643152.4307226327,1937193.7447661979,1748487.0
2021-01-30,1763748.296030242,1618487.9761823285,1907914.2531355615,1738373.0
2021-01-31,1735300.318910015,1596568.5450510988,1886473.7608410842,1734570.0
2021-02-01,1704528.7200628384,1565045.8310784914,1844729.1420854698,1700581.0
2021-02-02,1679986.4951870362,1537376.6214567109,1822700.629869134,1693183.0
2021-02-03,1662200.4408586193,1516175.0989570387,1820897.2849316958,1697791.0
2021-02-04,1648690.6457958268,1496110.6783013202,1787744.570530991,1683337.0
2021-02-05,1637999.0491734238,1494777.8222739322,1776187.707857652,1687656.0
2021-02-06,1624062.0653390943,1479266.6036903467,1763072.6046735325,1698198.0
2021-02-07,1608692.8005053585,1456145.9086630805,1748030.4365323423,
2021-02-08,1591425.5865716978,1454233.756980382,1737776.664438388,
2021-02-09,1580593.238006382,1432266.0862729473,1723157.649016716,
2021-02-10,1576504.56798988,1451323.1235211191,1715127.109073605,
2021-02-11,1576468.36582686,1433196.3522369522,1715132.9770448625,
2021-02-12,1578826.282906165,1440433.441942123,1719998.843085639,
